filename,width,height,class,xmin,ymin,xmax,ymax
445.png,160,60,Д,41,19,61,34
445.png,160,60,Б,59,19,71,37
445.png,160,60,К,71,17,86,35
445.png,160,60,Р,91,19,105,39
445.png,160,60,Л,103,20,123,39
901.png,160,60,Ч,25,13,42,37
901.png,160,60,Е,39,11,54,38
901.png,160,60,П,54,12,74,36
901.png,160,60,Ж,73,10,98,38
901.png,160,60,Ш,98,12,127,40
1215.png,160,60,Ч,33,12,49,38
1215.png,160,60,С,49,12,67,37
1215.png,160,60,П,67,13,86,39
1215.png,160,60,Л,83,13,107,39
1215.png,160,60,Ю,104,17,126,41
482.png,160,60,В,39,28,52,48
482.png,160,60,Н,56,24,74,49
482.png,160,60,К,73,26,88,46
482.png,160,60,Ч,92,22,110,43
482.png,160,60,П,107,22,122,43
630.png,160,60,Л,39,17,56,38
630.png,160,60,К,59,17,78,40
630.png,160,60,У,75,22,88,41
630.png,160,60,Б,86,22,100,41
630.png,160,60,Ж,100,24,121,44
502.png,160,60,М,28,24,42,41
502.png,160,60,Ж,41,19,59,44
502.png,160,60,М,62,17,93,46
502.png,160,60,Г,94,19,110,46
502.png,160,60,Т,112,20,143,46
709.png,160,60,Н,34,24,54,48
709.png,160,60,Е,56,26,73,47
709.png,160,60,Н,75,27,91,49
709.png,160,60,Я,90,29,105,47
709.png,160,60,О,105,23,121,44
1111.png,160,60,Н,39,19,56,41
1111.png,160,60,М,56,20,69,41
1111.png,160,60,Э,66,21,77,41
1111.png,160,60,У,75,22,88,44
1111.png,160,60,П,90,24,115,49
313.png,160,60,П,42,19,55,41
313.png,160,60,Е,54,20,66,38
313.png,160,60,С,62,17,75,39
313.png,160,60,Т,73,15,88,36
313.png,160,60,И,86,11,106,34
638.png,160,60,Т,29,23,49,46
638.png,160,60,Щ,45,19,77,48
638.png,160,60,А,76,18,97,46
638.png,160,60,Э,93,24,107,47
638.png,160,60,Э,109,27,130,50
1099.png,160,60,Т,29,19,50,41
1099.png,160,60,Д,49,17,77,47
1099.png,160,60,С,78,18,96,43
1099.png,160,60,К,95,18,109,41
1099.png,160,60,К,108,19,122,39
981.png,160,60,Н,32,32,49,53
981.png,160,60,Ж,51,32,74,56
981.png,160,60,С,71,25,90,50
981.png,160,60,Н,90,24,112,54
981.png,160,60,У,110,25,131,54
459.png,160,60,Е,36,17,51,38
459.png,160,60,Ч,54,15,71,37
459.png,160,60,Х,70,19,83,41
459.png,160,60,С,86,19,102,47
459.png,160,60,Г,105,21,119,49
860.png,160,60,А,39,20,55,40
860.png,160,60,Х,53,17,66,38
860.png,160,60,Р,64,13,78,38
860.png,160,60,Э,74,10,89,39
860.png,160,60,О,89,9,110,34
1014.png,160,60,Ю,27,22,46,43
1014.png,160,60,А,45,24,64,46
1014.png,160,60,Н,60,22,78,45
1014.png,160,60,Г,77,18,100,44
1014.png,160,60,К,103,12,129,44
995.png,160,60,Ш,29,31,61,56
995.png,160,60,Л,64,30,86,60
995.png,160,60,Л,87,29,105,53
995.png,160,60,Л,102,24,115,46
995.png,160,60,С,113,19,129,44
823.png,160,60,Щ,17,13,61,46
823.png,160,60,Я,61,7,86,49
823.png,160,60,И,84,7,100,40
823.png,160,60,И,100,10,115,37
823.png,160,60,А,114,15,133,38
168.png,160,60,К,40,26,63,49
168.png,160,60,У,64,26,77,48
168.png,160,60,С,76,29,87,47
168.png,160,60,С,86,29,95,46
168.png,160,60,Р,95,29,109,48
1039.png,160,60,Л,37,26,59,49
1039.png,160,60,Л,59,27,80,49
1039.png,160,60,А,80,26,96,45
1039.png,160,60,У,92,24,106,47
1039.png,160,60,Ю,104,25,122,44
203.png,160,60,П,38,20,53,39
203.png,160,60,А,51,17,66,36
203.png,160,60,Э,65,17,80,37
203.png,160,60,Р,77,13,97,35
203.png,160,60,П,99,12,121,34
1158.png,160,60,В,34,15,52,39
1158.png,160,60,Ф,53,13,76,39
1158.png,160,60,Х,73,17,88,42
1158.png,160,60,И,89,18,105,45
1158.png,160,60,П,102,24,120,46
880.png,160,60,Е,35,21,44,44
880.png,160,60,К,44,22,61,46
880.png,160,60,В,59,23,76,51
880.png,160,60,Я,75,22,100,54
880.png,160,60,Х,96,20,119,49
368.png,160,60,З,34,24,51,49
368.png,160,60,Е,54,23,67,44
368.png,160,60,Ч,68,21,86,42
368.png,160,60,А,83,21,98,40
368.png,160,60,Щ,98,19,124,39
616.png,160,60,П,39,17,58,41
616.png,160,60,Ч,59,12,76,37
616.png,160,60,Т,75,14,93,38
616.png,160,60,С,90,12,110,36
616.png,160,60,А,108,15,130,35
723.png,160,60,Ж,31,26,47,46
723.png,160,60,Ю,47,28,71,52
723.png,160,60,У,74,29,93,55
723.png,160,60,Т,95,29,115,51
723.png,160,60,С,114,27,132,49
598.png,160,60,Н,41,23,54,41
598.png,160,60,Т,53,22,65,41
598.png,160,60,И,66,25,83,46
598.png,160,60,Г,81,24,90,49
598.png,160,60,Т,91,32,112,51
189.png,160,60,З,44,20,56,42
189.png,160,60,Г,56,21,69,39
189.png,160,60,О,70,22,90,40
189.png,160,60,Р,89,22,103,40
189.png,160,60,Р,101,22,119,37
564.png,160,60,И,37,19,54,39
564.png,160,60,Щ,54,18,75,42
564.png,160,60,С,75,16,88,40
564.png,160,60,Р,88,14,100,38
564.png,160,60,Н,100,10,122,36
1286.png,160,60,Д,47,7,74,37
1286.png,160,60,Э,70,8,86,32
1286.png,160,60,Б,86,13,101,34
1286.png,160,60,Т,99,17,110,34
1286.png,160,60,С,109,17,119,37
183.png,160,60,Э,39,17,57,41
183.png,160,60,Н,57,17,72,41
183.png,160,60,В,73,20,88,42
183.png,160,60,Р,87,24,104,45
183.png,160,60,Х,100,23,124,45
520.png,160,60,Г,35,13,54,41
520.png,160,60,Б,57,12,76,39
520.png,160,60,Е,81,16,98,40
520.png,160,60,Д,97,20,114,46
520.png,160,60,У,111,22,127,45
975.png,160,60,Н,32,18,48,41
975.png,160,60,Ф,47,14,63,43
975.png,160,60,Ж,59,10,84,40
975.png,160,60,Т,81,12,100,40
975.png,160,60,П,101,15,125,41
903.png,160,60,Х,34,24,53,44
903.png,160,60,Л,48,24,64,47
903.png,160,60,П,63,21,83,44
903.png,160,60,М,78,15,103,42
903.png,160,60,П,100,15,120,38
1047.png,160,60,Н,17,10,42,41
1047.png,160,60,Д,34,8,76,47
1047.png,160,60,Т,73,10,98,33
1047.png,160,60,Х,97,15,118,37
1047.png,160,60,Ш,115,18,130,39
633.png,160,60,Д,29,12,47,37
633.png,160,60,К,52,10,69,36
633.png,160,60,А,70,12,92,41
633.png,160,60,К,94,19,111,40
633.png,160,60,Я,110,17,129,44
665.png,160,60,С,47,15,68,41
665.png,160,60,Щ,67,17,86,37
665.png,160,60,С,88,18,96,40
665.png,160,60,С,95,20,107,39
665.png,160,60,Р,106,17,120,39
924.png,160,60,Т,27,2,47,32
924.png,160,60,В,44,1,67,35
924.png,160,60,З,68,1,93,32
924.png,160,60,О,95,2,112,32
924.png,160,60,Х,112,7,127,34
105.png,160,60,Л,37,22,51,41
105.png,160,60,А,54,19,68,39
105.png,160,60,Ф,68,18,80,40
105.png,160,60,И,82,17,103,41
105.png,160,60,Т,106,17,125,43
127.png,160,60,Ф,39,12,52,37
127.png,160,60,К,55,12,78,34
127.png,160,60,С,78,16,92,37
127.png,160,60,П,92,17,108,39
127.png,160,60,Я,108,16,125,41
1229.png,160,60,Н,28,17,46,49
1229.png,160,60,Р,45,21,70,49
1229.png,160,60,Э,69,19,90,53
1229.png,160,60,М,90,22,106,53
1229.png,160,60,Т,105,26,127,54
781.png,160,60,Б,36,15,49,35
781.png,160,60,Д,49,12,71,34
781.png,160,60,Л,71,11,92,34
781.png,160,60,Г,95,11,110,30
781.png,160,60,Э,110,13,127,29
683.png,160,60,И,34,24,49,38
683.png,160,60,Л,49,26,63,44
683.png,160,60,Ф,61,24,71,46
683.png,160,60,П,72,22,86,49
683.png,160,60,И,90,16,121,52
410.png,160,60,Я,32,16,54,49
410.png,160,60,С,56,18,75,43
410.png,160,60,Э,73,15,90,42
410.png,160,60,М,88,14,107,39
410.png,160,60,Л,105,13,129,34
325.png,160,60,М,33,9,66,47
325.png,160,60,У,68,13,88,45
325.png,160,60,В,90,19,104,45
325.png,160,60,С,104,22,113,46
325.png,160,60,Д,115,22,129,46
713.png,160,60,Ж,29,12,55,33
713.png,160,60,В,59,10,74,32
713.png,160,60,Д,78,12,97,37
713.png,160,60,Н,98,15,111,31
713.png,160,60,З,110,15,121,32
592.png,160,60,С,41,21,54,40
592.png,160,60,Ж,54,22,71,41
592.png,160,60,П,70,22,88,43
592.png,160,60,Э,82,19,98,44
592.png,160,60,Т,99,18,123,41
253.png,160,60,К,32,22,63,49
253.png,160,60,В,67,19,84,51
253.png,160,60,О,88,24,105,49
253.png,160,60,М,102,24,116,46
253.png,160,60,Е,113,22,127,43
147.png,160,60,Х,39,10,54,34
147.png,160,60,Ю,51,10,68,32
147.png,160,60,Г,69,10,79,34
147.png,160,60,У,79,12,96,35
147.png,160,60,И,98,12,118,39
128.png,160,60,Т,37,22,58,44
128.png,160,60,С,58,22,73,46
128.png,160,60,Э,73,22,86,44
128.png,160,60,С,87,21,104,47
128.png,160,60,Х,104,23,125,44
82.png,160,60,Ч,42,16,59,39
82.png,160,60,Б,61,17,75,37
82.png,160,60,У,75,20,86,36
82.png,160,60,М,88,19,99,37
82.png,160,60,Г,100,16,116,37
1024.png,160,60,Э,37,21,57,46
1024.png,160,60,Ю,59,17,78,44
1024.png,160,60,С,78,15,90,42
1024.png,160,60,И,90,15,112,37
1024.png,160,60,С,110,16,133,39
829.png,160,60,Н,17,17,39,44
829.png,160,60,Е,39,13,61,44
829.png,160,60,Я,61,16,87,44
829.png,160,60,Щ,86,19,112,46
829.png,160,60,Ш,112,19,130,44
448.png,160,60,С,48,18,65,43
448.png,160,60,В,69,19,83,40
448.png,160,60,Р,84,19,93,39
448.png,160,60,З,92,19,103,39
448.png,160,60,В,104,20,117,39
853.png,160,60,Б,37,24,50,45
853.png,160,60,М,52,24,69,47
853.png,160,60,С,68,19,87,47
853.png,160,60,Х,86,17,108,48
853.png,160,60,П,109,16,128,41
899.png,160,60,Я,39,19,53,42
899.png,160,60,И,50,24,66,44
899.png,160,60,В,59,27,78,49
899.png,160,60,Г,76,30,95,54
899.png,160,60,Р,96,30,121,58
207.png,160,60,Д,34,23,50,49
207.png,160,60,С,49,23,66,46
207.png,160,60,В,64,22,82,44
207.png,160,60,Щ,79,19,114,48
207.png,160,60,П,113,19,137,44
927.png,160,60,З,25,21,38,42
927.png,160,60,Щ,36,23,71,48
927.png,160,60,И,74,21,92,44
927.png,160,60,А,90,19,105,37
927.png,160,60,Щ,105,18,132,41
655.png,160,60,Я,32,23,49,45
655.png,160,60,Ф,51,19,66,46
655.png,160,60,И,66,18,80,41
655.png,160,60,О,80,12,98,38
655.png,160,60,Щ,98,13,130,41
110.png,160,60,А,38,10,59,32
110.png,160,60,Х,56,10,73,30
110.png,160,60,У,69,10,88,29
110.png,160,60,Щ,88,12,109,39
110.png,160,60,С,108,13,125,37
714.png,160,60,Ж,43,22,61,44
714.png,160,60,Б,63,23,72,41
714.png,160,60,Я,71,22,85,45
714.png,160,60,Ф,84,21,103,46
714.png,160,60,С,105,22,121,47
184.png,160,60,Р,40,16,57,36
184.png,160,60,С,59,17,73,36
184.png,160,60,Д,70,22,85,41
184.png,160,60,Т,83,22,100,41
184.png,160,60,И,100,23,120,44
1244.png,160,60,Ф,25,6,54,49
1244.png,160,60,Т,53,10,83,46
1244.png,160,60,С,81,12,102,45
1244.png,160,60,З,102,17,115,48
1244.png,160,60,Ч,112,18,130,45
1185.png,160,60,С,34,12,51,33
1185.png,160,60,Л,49,13,71,34
1185.png,160,60,Е,73,16,87,34
1185.png,160,60,Д,86,17,103,36
1185.png,160,60,Н,100,12,117,33
481.png,160,60,Б,47,23,66,48
481.png,160,60,З,66,21,81,51
481.png,160,60,Т,81,20,96,46
481.png,160,60,З,93,17,108,45
481.png,160,60,С,103,16,117,39
890.png,160,60,Д,35,6,61,38
890.png,160,60,Я,58,5,81,34
890.png,160,60,Д,81,10,97,36
890.png,160,60,Э,93,7,107,32
890.png,160,60,Ж,103,11,127,32
350.png,160,60,Л,32,16,54,40
350.png,160,60,Ч,56,15,71,37
350.png,160,60,Т,71,19,84,36
350.png,160,60,С,83,19,97,43
350.png,160,60,Ш,99,24,124,45
658.png,160,60,Ш,39,15,70,37
658.png,160,60,Н,71,19,83,39
658.png,160,60,М,83,22,93,39
658.png,160,60,Н,94,22,110,39
658.png,160,60,Г,110,19,124,40
862.png,160,60,Х,34,18,53,41
862.png,160,60,В,52,17,64,41
862.png,160,60,Щ,62,12,82,38
862.png,160,60,Т,80,5,95,32
862.png,160,60,Ф,91,4,115,34
28.png,160,60,Ю,40,11,69,38
28.png,160,60,Ч,69,12,81,40
28.png,160,60,Г,80,14,90,43
28.png,160,60,Ю,89,19,104,46
28.png,160,60,Х,102,24,121,49
779.png,160,60,И,20,15,37,40
779.png,160,60,О,39,17,63,41
779.png,160,60,В,67,18,88,44
779.png,160,60,М,88,22,106,46
779.png,160,60,Ш,107,24,135,47
324.png,160,60,Ю,38,10,56,35
324.png,160,60,Д,55,8,83,49
324.png,160,60,Ч,83,17,100,44
324.png,160,60,Т,96,21,110,46
324.png,160,60,Г,110,22,132,47
431.png,160,60,Д,32,2,66,32
431.png,160,60,О,66,6,83,26
431.png,160,60,З,85,10,96,31
431.png,160,60,С,99,15,111,32
431.png,160,60,К,112,17,129,32
842.png,160,60,Э,39,15,52,39
842.png,160,60,П,51,15,66,41
842.png,160,60,Ж,67,17,90,44
842.png,160,60,Е,89,22,104,46
842.png,160,60,П,100,22,122,46
АСВЛП.png,160,60,А,35,24,48,44
АСВЛП.png,160,60,С,49,19,71,45
АСВЛП.png,160,60,В,72,15,93,45
АСВЛП.png,160,60,Л,93,13,111,41
АСВЛП.png,160,60,П,111,12,129,41
258.png,160,60,Р,46,17,69,44
258.png,160,60,Н,70,19,83,41
258.png,160,60,Т,83,21,93,37
258.png,160,60,Г,93,23,103,40
258.png,160,60,Э,100,19,115,41
157.png,160,60,В,42,19,56,39
157.png,160,60,З,56,20,67,38
157.png,160,60,Б,68,25,78,41
157.png,160,60,Т,78,31,93,44
157.png,160,60,М,94,32,118,49
893.png,160,60,З,41,21,54,43
893.png,160,60,И,51,20,65,44
893.png,160,60,Р,64,22,77,46
893.png,160,60,Ч,75,27,93,47
893.png,160,60,Г,93,31,113,51
244.png,160,60,Ж,24,1,55,31
244.png,160,60,Ч,56,1,82,23
244.png,160,60,Т,83,2,102,27
244.png,160,60,Б,100,8,115,31
244.png,160,60,Щ,112,13,133,41
529.png,160,60,Ф,32,26,44,50
529.png,160,60,Т,44,30,60,53
529.png,160,60,Я,62,29,83,54
529.png,160,60,М,81,27,99,53
529.png,160,60,А,103,24,121,45
646.png,160,60,Н,37,19,54,37
646.png,160,60,А,54,21,66,39
646.png,160,60,В,66,23,78,44
646.png,160,60,Д,84,27,105,49
646.png,160,60,Л,109,25,127,46
1130.png,160,60,О,27,7,49,28
1130.png,160,60,Ч,49,5,72,27
1130.png,160,60,Р,73,7,88,29
1130.png,160,60,Д,91,13,111,36
1130.png,160,60,К,111,14,128,35
882.png,160,60,М,20,23,46,57
882.png,160,60,Ж,44,22,83,60
882.png,160,60,О,80,23,105,58
882.png,160,60,Б,100,22,117,56
882.png,160,60,Я,112,23,132,50
472.png,160,60,О,34,15,54,39
472.png,160,60,О,55,15,73,40
472.png,160,60,Я,76,17,91,38
472.png,160,60,Ж,90,19,108,37
472.png,160,60,А,108,19,127,37
1125.png,160,60,Н,37,15,54,34
1125.png,160,60,П,52,10,67,36
1125.png,160,60,Л,66,9,86,29
1125.png,160,60,В,87,5,101,29
1125.png,160,60,Р,103,8,117,31
1168.png,160,60,Ф,35,18,52,37
1168.png,160,60,Ж,48,11,68,37
1168.png,160,60,Д,64,10,85,37
1168.png,160,60,А,83,10,108,29
1168.png,160,60,Т,103,10,122,28
934.png,160,60,Р,31,22,48,44
934.png,160,60,Т,47,20,65,48
934.png,160,60,Г,65,21,79,50
934.png,160,60,Т,78,24,93,51
934.png,160,60,Х,91,28,117,54
1263.png,160,60,Н,33,13,48,37
1263.png,160,60,Н,45,10,60,35
1263.png,160,60,Т,61,4,77,32
1263.png,160,60,П,79,1,99,34
1263.png,160,60,З,100,1,126,31
106.png,160,60,С,39,11,56,34
106.png,160,60,Н,58,14,73,34
106.png,160,60,Ю,76,15,95,36
106.png,160,60,Б,95,19,106,37
106.png,160,60,П,105,21,120,41
1236.png,160,60,С,38,18,51,40
1236.png,160,60,Е,49,18,63,36
1236.png,160,60,Б,61,15,77,33
1236.png,160,60,Ж,77,15,102,35
1236.png,160,60,Л,101,15,121,37
1003.png,160,60,Г,36,11,55,34
1003.png,160,60,С,52,10,69,34
1003.png,160,60,К,69,11,87,34
1003.png,160,60,Ю,85,14,106,36
1003.png,160,60,Н,107,15,128,36
374.png,160,60,Э,29,13,51,46
374.png,160,60,К,52,17,86,45
374.png,160,60,Ю,89,18,106,44
374.png,160,60,С,103,19,112,41
374.png,160,60,Т,111,20,122,42
172.png,160,60,П,28,10,50,33
172.png,160,60,О,49,8,72,32
172.png,160,60,С,72,10,90,35
172.png,160,60,Ш,93,14,116,34
172.png,160,60,Т,116,17,131,34
26.png,160,60,У,38,17,56,38
26.png,160,60,Д,53,22,71,40
26.png,160,60,П,70,20,89,38
26.png,160,60,Я,88,17,107,36
26.png,160,60,Х,106,18,125,35
1061.png,160,60,О,27,14,44,40
1061.png,160,60,Е,42,9,61,36
1061.png,160,60,О,60,5,86,32
1061.png,160,60,М,88,6,117,32
1061.png,160,60,Е,120,10,135,32
905.png,160,60,Б,40,19,51,40
905.png,160,60,Ф,49,17,66,40
905.png,160,60,С,66,17,77,41
905.png,160,60,Н,79,19,103,45
905.png,160,60,Я,100,18,126,51
501.png,160,60,Л,44,12,64,34
501.png,160,60,Н,65,16,78,34
501.png,160,60,Э,76,17,92,34
501.png,160,60,Ч,94,20,106,36
501.png,160,60,С,106,21,118,40
1170.png,160,60,Т,41,26,56,44
1170.png,160,60,Л,54,27,74,43
1170.png,160,60,К,75,27,91,44
1170.png,160,60,У,90,26,107,45
1170.png,160,60,Н,106,21,123,42
595.png,160,60,А,36,22,50,41
595.png,160,60,Н,50,21,64,44
595.png,160,60,Н,67,21,87,49
595.png,160,60,З,88,21,103,49
595.png,160,60,Д,103,18,122,45
519.png,160,60,И,40,22,57,39
519.png,160,60,Я,57,20,71,41
519.png,160,60,Е,73,22,84,39
519.png,160,60,П,86,22,98,38
519.png,160,60,А,97,20,122,43
192.png,160,60,Э,39,22,56,44
192.png,160,60,Ю,57,23,79,44
192.png,160,60,Ш,77,18,98,41
192.png,160,60,В,97,17,110,40
192.png,160,60,З,112,17,127,39
563.png,160,60,Ш,30,33,71,60
563.png,160,60,Т,76,33,100,59
563.png,160,60,Я,94,29,111,58
563.png,160,60,Л,108,23,120,54
563.png,160,60,Х,118,22,130,44
1154.png,160,60,Ф,28,17,44,46
1154.png,160,60,О,44,15,65,43
1154.png,160,60,Е,65,12,90,43
1154.png,160,60,Ж,90,10,110,39
1154.png,160,60,И,109,11,129,39
785.png,160,60,Г,37,21,50,41
785.png,160,60,Б,49,24,61,46
785.png,160,60,Ф,61,22,81,47
785.png,160,60,З,83,17,104,49
785.png,160,60,О,106,23,127,47
56.png,160,60,У,33,10,45,35
56.png,160,60,Я,44,3,62,34
56.png,160,60,Х,60,4,92,35
56.png,160,60,Л,92,8,108,37
56.png,160,60,П,108,15,122,39
574.png,160,60,Ш,27,27,54,43
574.png,160,60,Р,56,20,73,44
574.png,160,60,Б,73,22,89,43
574.png,160,60,К,93,22,114,46
574.png,160,60,Л,117,24,132,46
824.png,160,60,Л,32,20,49,46
824.png,160,60,Х,50,15,69,43
824.png,160,60,У,66,11,87,41
824.png,160,60,Л,86,16,111,44
824.png,160,60,С,114,14,133,44
14.png,160,60,Щ,22,18,52,47
14.png,160,60,У,51,18,69,44
14.png,160,60,Щ,67,17,91,52
14.png,160,60,Л,91,21,114,54
14.png,160,60,Е,115,20,138,53
1161.png,160,60,Р,17,27,36,51
1161.png,160,60,М,37,32,67,55
1161.png,160,60,Ш,66,24,95,51
1161.png,160,60,Э,93,21,109,47
1161.png,160,60,Щ,111,21,132,42
118.png,160,60,Э,47,12,64,37
118.png,160,60,Х,66,15,79,37
118.png,160,60,С,76,19,86,36
118.png,160,60,Щ,86,19,109,39
118.png,160,60,З,109,18,121,40
1070.png,160,60,Б,39,19,55,39
1070.png,160,60,М,54,18,71,39
1070.png,160,60,С,72,15,89,39
1070.png,160,60,В,88,13,104,40
1070.png,160,60,З,103,14,118,38
1132.png,160,60,Д,37,19,57,44
1132.png,160,60,К,58,19,75,37
1132.png,160,60,Б,74,19,87,39
1132.png,160,60,Д,86,20,104,46
1132.png,160,60,Р,106,19,125,44
1027.png,160,60,Л,32,24,49,43
1027.png,160,60,М,47,24,71,51
1027.png,160,60,С,71,25,89,49
1027.png,160,60,З,87,23,103,51
1027.png,160,60,Ф,102,17,129,49
963.png,160,60,Г,39,26,59,47
963.png,160,60,А,56,27,81,46
963.png,160,60,М,83,24,101,45
963.png,160,60,Б,99,22,111,42
963.png,160,60,Е,112,21,123,40
107.png,160,60,О,39,22,56,39
107.png,160,60,Э,58,22,71,39
107.png,160,60,В,71,22,86,40
107.png,160,60,И,88,19,103,39
107.png,160,60,П,105,19,121,36
1291.png,160,60,С,47,16,54,39
1291.png,160,60,П,54,19,67,40
